section,name,value,extra
GLOBAL,approx_total_market_cap_usd,3134101395221.0,
GLOBAL,sample_size,50.0,
DOMINANCE,BTC,58.45131367225031,%
DOMINANCE,ETH,11.56874528618858,%
DOMINANCE,OTHERS,29.979941041561112,%
TOP_GAINERS,ICP,9.95246,"price=5.35, vol=561541044"
TOP_GAINERS,UNI,4.10215,"price=7.39, vol=1393698170"
TOP_GAINERS,BCH,2.87461,"price=490.19, vol=309554368"
TOP_GAINERS,XMR,1.95928,"price=403.19, vol=204244544"
TOP_GAINERS,HYPE,0.91238,"price=38.18, vol=425126043"
TOP_LOSERS,MNT,-6.38373,"price=1.1, vol=100540921"
TOP_LOSERS,LTC,-4.13081,"price=91.47, vol=819429231"
TOP_LOSERS,CRO,-4.0719,"price=0.103342, vol=34955096"
TOP_LOSERS,SOL,-3.97986,"price=130.44, vol=7686813961"
TOP_LOSERS,ADA,-3.80178,"price=0.460775, vol=1397301595"
TOP_VOLUME,USDT,-0.07617,"price=0.99897, vol=139011898863"
TOP_VOLUME,BTC,-1.40775,"price=91796.0, vol=96374430380"
TOP_VOLUME,ETH,-1.63253,"price=3002.56, vol=41580996161"
TOP_VOLUME,USDC,-0.00734,"price=0.999706, vol=15495249288"
TOP_VOLUME,SOL,-3.97986,"price=130.44, vol=7686813961"
