symbol,price,change_24h,volume_24h,market_cap
BTC,91796.0,-1.40775,96374430380,1831923437327
ETH,3002.56,-1.63253,41580996161,362576207424
USDT,0.99897,-0.07617,139011898863,183802872429
XRP,2.15,-1.7616,6057863358,129065663490
BNB,901.29,-1.27164,3279324692,124165837804
USDC,0.999706,-0.00734,15495249288,74966136399
SOL,130.44,-3.97986,7686813961,72242996321
TRX,0.290593,-0.23241,1055507656,27510150313
STETH,3000.21,-1.99013,88115300,25871918504
DOGE,0.151659,-2.68021,2806265362,22987470156
ADA,0.460775,-3.80178,1397301595,16863927640
FIGR_HELOC,1.029,0.85708,13751318,14028277682
WSTETH,3659.41,-2.34578,29716500,11989329706
WBTC,91629.0,-1.6668,471783963,11605274410
WBT,50.98,-1.52949,152395654,10941238970
WBETH,3253.1,-2.11944,20856496,10601678615
ZEC,647.97,-3.21832,2382703659,10558591807
HYPE,38.18,0.91238,425126043,10331681146
BCH,490.19,2.87461,309554368,9780675047
USDS,0.999903,-0.01927,24177010,9259188787
LINK,13.21,-1.98527,898700538,9204099873
BSC-USD,0.999344,-0.03112,1873183242,8975663256
LEO,9.16,-0.30567,772494,8428403268
XLM,0.245701,-2.48839,220339144,7882459361
WETH,3005.06,-1.59252,262500330,7850602078
USDE,0.998721,0.0323,301250529,7849051357
WEETH,3249.8,-1.84233,43080925,7794061292
XMR,403.19,1.95928,204244544,7438838519
LTC,91.47,-4.13081,819429231,6988891538
CBBTC,91750.0,-1.64378,695783893,6755871800
AVAX,14.4,-2.9405,636356130,6160867608
HBAR,0.143448,-2.62282,308328780,6070727455
SUI,1.6,-3.4869,1212177560,5865535076
SHIB,8.52e-06,-2.65591,155029023,5013642561
UNI,7.39,4.10215,1393698170,4650007632
DAI,0.999751,0.02975,127000235,4506172165
SUSDE,1.2,-0.06234,34645757,4436457350
TON,1.75,-2.30749,155374958,4359465932
DOT,2.65,-3.47152,269495893,4324255379
USDT0,0.998912,-0.02744,262072556,3970061973
CRO,0.103342,-4.0719,34955096,3849998387
CC,0.109037,-1.60731,47706989,3834759255
SUSDS,1.071,-0.68885,16229767,3800638050
WLFI,0.135261,-3.11259,189424813,3686446177
M,2.13,-1.47529,19196975,3634166635
MNT,1.1,-6.38373,100540921,3594777750
PYUSD,0.999918,0.00185,218968921,3431668792
TAO,310.18,-1.23106,210463601,2974759590
ICP,5.35,9.95246,561541044,2893797635
NEAR,2.19,-2.77653,478247298,2802693500
