symbol,price,change_24h,volume_24h,market_cap
BTC,95460.0,-0.18956,78610070829,1904063831180
ETH,3197.41,0.8705,34008158540,386186973764
USDT,0.999323,-0.01281,111980712834,183915561580
XRP,2.27,1.47768,4293581603,136556765506
BNB,932.82,-0.20594,2368889689,128435852475
SOL,141.82,1.21834,5575287266,78629301940
USDC,0.9997,-0.01136,10374733606,74879004339
TRX,0.293694,-0.92231,886441804,27802066986
STETH,3197.54,0.82526,55377685,27651372625
DOGE,0.162029,0.27042,1939697203,24581437977
ADA,0.494554,-0.5733,1105897735,18108061051
FIGR_HELOC,1.027,,109521577,13998247736
WSTETH,3901.83,0.95205,18435801,12828617467
WBTC,95382.0,-0.35805,385505947,12084590681
WBT,52.91,0.0333,124255000,11343818615
WBETH,3461.87,0.7281,23161069,11313535339
ZEC,687.32,-2.73349,3547804690,11217055042
HYPE,39.22,-0.32176,345189130,10593511701
BCH,500.52,1.25883,227739823,9983735400
LINK,14.14,0.47206,775969753,9856826165
USDS,0.999756,0.05504,4679603,9246551464
BSC-USD,0.999133,-0.14299,1932137168,8978532126
LEO,9.2,0.33499,608160,8474739132
XLM,0.259662,1.01774,173668257,8344121907
WETH,3197.22,0.75249,255489780,8337745562
WEETH,3456.91,0.79207,27946888,8320321552
USDE,0.998668,-0.02975,207907040,7935050689
XMR,412.56,-3.69003,207461006,7587427623
LTC,96.52,-4.18567,771602769,7383478867
CBBTC,95443.0,-0.22713,582013750,7087276657
AVAX,15.58,0.78284,542918938,6691420301
HBAR,0.151981,-0.16479,257102275,6457039635
SUI,1.72,-0.15727,990771414,6339797009
SHIB,9.06e-06,0.09115,137632364,5337379035
UNI,8.0,5.44314,1126271602,5041177665
DOT,2.83,-0.22783,240717138,4628544392
TON,1.82,-0.09883,136658702,4545408847
DAI,0.999825,-0.07626,104707464,4510885695
SUSDE,1.2,0.06563,14964895,4476508995
CRO,0.111829,-2.24888,26315009,4172289012
USDT0,0.99876,-0.0002,293892426,4092703419
WLFI,0.146368,1.09323,185130065,3989090085
MNT,1.2,-0.58376,81606373,3894279065
CC,0.110292,-0.49029,38296099,3876846558
SUSDS,1.07,-0.72075,13590747,3782570703
M,2.15,-2.76593,18058175,3654029294
PYUSD,0.999547,-0.02199,89722303,3446671524
TAO,326.22,-2.92358,181714172,3135905968
NEAR,2.31,-7.12301,444872941,2954803256
USD1,0.99854,-0.04081,360100287,2806447853
